Ciudad|Pais|Poblacion
Segovia|Espanya|51683
Nairobi|Kenia|4397000
Valencia|Espanya|791413
Berlin|Alemania|3645000
Marsella|Francia|861635
Bilbao|Espanya|345821
Lyon|Francia|513275
Teruel|Espanya|35691
Milan|Italia|1352000
Oporto|Portugal|214349
Madrid|Espanya|3223000
Sevilla|Espanya|688711
Albacete|Espanya|173050
Oslo|Noruega|634293
Medellin|Colombia|2569000
Nantes|Francia|303382 
Gotemburgo|Suecia|579281
Barcelona|Espanya|1620000
Pekin|China|21540000
Montevideo|Uruguay|1381000
Zamora|Espanya|61827
